gapminder.country	gapminder.lifeExp
Finland	72.52
Finland	74.55
Finland	74.83
Finland	75.7
Finland	77.13
Finland	78.37
Finland	79.313
France	67.41
France	68.93
France	70.51
France	71.55
France	72.38
France	73.83
France	74.89
France	76.34
France	77.46
France	78.64
France	79.59
France	80.657
Gabon	37.003
Gabon	38.999
Gabon	40.489
Gabon	44.598
Gabon	48.69
Gabon	52.79
Gabon	56.564
Gabon	60.19
Gabon	61.366
Gabon	60.461
Gabon	56.761
Gabon	56.735
Gambia	30
Gambia	32.065
Gambia	33.896
Gambia	35.857
Gambia	38.308
Gambia	41.842
Gambia	45.58
Gambia	49.265
Gambia	52.644
Gambia	55.861
Gambia	58.041
Gambia	59.448
Germany	67.5
Germany	69.1
Germany	70.3
Germany	70.8
Germany	71
Germany	72.5
Germany	73.8
Germany	74.847
Germany	76.07
Germany	77.34
Germany	78.67
Germany	79.406
Ghana	43.149
Ghana	44.779
Ghana	46.452
Ghana	48.072
Ghana	49.875
Ghana	51.756
Ghana	53.744
Ghana	55.729
Ghana	57.501
Ghana	58.556
Ghana	58.453
Ghana	60.022
Greece	65.86
Greece	67.86
Greece	69.51
Greece	71
Greece	72.34
Greece	73.68
Greece	75.24
Greece	76.67
Greece	77.03
Greece	77.869
Greece	78.256
Greece	79.483
Guatemala	42.023
Guatemala	44.142
Guatemala	46.954
Guatemala	50.016
Guatemala	53.738
Guatemala	56.029
Guatemala	58.137
Guatemala	60.782
Guatemala	63.373
Guatemala	66.322
Guatemala	68.978
Guatemala	70.259
Guinea	33.609
Guinea	34.558
Guinea	35.753
Guinea	37.197
Guinea	38.842
Guinea	40.762
Guinea	42.891
Guinea	45.552
Guinea	48.576
Guinea	51.455
Guinea	53.676
Guinea	56.007
Guinea-Bissau	32.5
Guinea-Bissau	33.489
Guinea-Bissau	34.488
Guinea-Bissau	35.492
Guinea-Bissau	36.486
Guinea-Bissau	37.465
Guinea-Bissau	39.327
Guinea-Bissau	41.245
Guinea-Bissau	43.266
Guinea-Bissau	44.873
Guinea-Bissau	45.504
Guinea-Bissau	46.388
Haiti	37.579
Haiti	40.696
Haiti	43.59
Haiti	46.243
Haiti	48.042
Haiti	49.923
Haiti	51.461
Haiti	53.636
Haiti	55.089
Haiti	56.671
Haiti	58.137
Haiti	60.916
Honduras	41.912
Honduras	44.665
Honduras	48.041
Honduras	50.924
Honduras	53.884
Honduras	57.402
Honduras	60.909
Honduras	64.492
Honduras	66.399
Honduras	67.659
Honduras	68.565
Honduras	70.198
Hong Kong, China	60.96
Hong Kong, China	64.75
Hong Kong, China	67.65
Hong Kong, China	70
Hong Kong, China	72
Hong Kong, China	73.6
Hong Kong, China	75.45
Hong Kong, China	76.2
Hong Kong, China	77.601
Hong Kong, China	80
Hong Kong, China	81.495
Hong Kong, China	82.208
Hungary	64.03
Hungary	66.41
Hungary	67.96
Hungary	69.5
Hungary	69.76
Hungary	69.95
Hungary	69.39
Hungary	69.58
Hungary	69.17
Hungary	71.04
Hungary	72.59
Hungary	73.338
Iceland	72.49
Iceland	73.47
Iceland	73.68
Iceland	73.73
Iceland	74.46
Iceland	76.11
Iceland	76.99
Iceland	77.23
Iceland	78.77
Iceland	78.95
Iceland	80.5
Iceland	81.757
India	37.373
India	40.249
India	43.605
India	47.193
India	50.651
India	54.208
India	56.596
India	58.553
India	60.223
India	61.765
India	62.879
India	64.698
Indonesia	37.468
Indonesia	39.918
Indonesia	42.518
Indonesia	45.964
Indonesia	49.203
Indonesia	52.702
Indonesia	56.159
Indonesia	60.137
Indonesia	62.681
Indonesia	66.041
Indonesia	68.588
Indonesia	70.65
Iran	44.869
Iran	47.181
Iran	49.325
Iran	52.469
Iran	55.234
Iran	57.702
Iran	59.62
Iran	63.04
Iran	65.742
Iran	68.042
Iran	69.451
Iran	70.964
Iraq	45.32
Iraq	48.437
Iraq	51.457
Iraq	54.459
Iraq	56.95
Iraq	60.413
Iraq	62.038
Iraq	65.044
Iraq	59.461
Iraq	58.811
Iraq	57.046
Iraq	59.545
Ireland	66.91
Ireland	68.9
Ireland	70.29
Ireland	71.08
Ireland	71.28
Ireland	72.03
Ireland	73.1
Ireland	74.36
Ireland	75.467
Ireland	76.122
Ireland	77.783
Ireland	78.885
Israel	65.39
Israel	67.84
Israel	69.39
Israel	70.75
Israel	71.63
Israel	73.06
Israel	74.45
Israel	75.6
Israel	76.93
Israel	78.269
Israel	79.696
Israel	80.745
Italy	65.94
Italy	67.81
Italy	69.24
Italy	71.06
Italy	72.19
Italy	73.48
Italy	74.98
Italy	76.42
Italy	77.44
Italy	78.82
Italy	80.24
Italy	80.546
Jamaica	58.53
Jamaica	62.61
Jamaica	65.61
Jamaica	67.51
Jamaica	69
Jamaica	70.11
Jamaica	71.21
Jamaica	71.77
Jamaica	71.766
Jamaica	72.262
Jamaica	72.047
Jamaica	72.567
Japan	63.03
Japan	65.5
Japan	68.73
Japan	71.43
Japan	73.42
Japan	75.38
Japan	77.11
Japan	78.67
Japan	79.36
Japan	80.69
Japan	82
Japan	82.603
Jordan	43.158
Jordan	45.669
Jordan	48.126
Jordan	51.629
Jordan	56.528
Jordan	61.134
Jordan	63.739
Jordan	65.869
Jordan	68.015
Jordan	69.772
Jordan	71.263
Jordan	72.535
Kenya	42.27
Kenya	44.686
Kenya	47.949
Kenya	50.654
Kenya	53.559
Kenya	56.155
Kenya	58.766
Kenya	59.339
Kenya	59.285
Kenya	54.407
Kenya	50.992
Kenya	54.11
Korea, Dem. Rep.	50.056
Korea, Dem. Rep.	54.081
Korea, Dem. Rep.	56.656
Korea, Dem. Rep.	59.942
Korea, Dem. Rep.	63.983
Korea, Dem. Rep.	67.159
Korea, Dem. Rep.	69.1
Korea, Dem. Rep.	70.647
Korea, Dem. Rep.	69.978
Korea, Dem. Rep.	67.727
Korea, Dem. Rep.	66.662
Korea, Dem. Rep.	67.297
Korea, Rep.	47.453
Korea, Rep.	52.681
Korea, Rep.	55.292
Korea, Rep.	57.716
Korea, Rep.	62.612
Korea, Rep.	64.766
Korea, Rep.	67.123
Korea, Rep.	69.81
Korea, Rep.	72.244
Korea, Rep.	74.647
Korea, Rep.	77.045
Korea, Rep.	78.623
Kuwait	55.565
Kuwait	58.033
Kuwait	60.47
Kuwait	64.624
Kuwait	67.712
Kuwait	69.343
Kuwait	71.309
Kuwait	74.174
Kuwait	75.19
Kuwait	76.156
Kuwait	76.904
Kuwait	77.588
Lebanon	55.928
Lebanon	59.489
Lebanon	62.094
Lebanon	63.87
Lebanon	65.421
Lebanon	66.099
Lebanon	66.983
Lebanon	67.926
Lebanon	69.292
Lebanon	70.265
Lebanon	71.028
Lebanon	71.993
Lesotho	42.138
Lesotho	45.047
Lesotho	47.747
Lesotho	48.492
Lesotho	49.767
Lesotho	52.208
Lesotho	55.078
Lesotho	57.18
Lesotho	59.685
Lesotho	55.558
Lesotho	44.593
Lesotho	42.592
Liberia	38.48
Liberia	39.486
Liberia	40.502
Liberia	41.536
Liberia	42.614
Liberia	43.764
Liberia	44.852
Liberia	46.027
Liberia	40.802
Liberia	42.221
Liberia	43.753
Liberia	45.678
Libya	42.723
Libya	45.289
Libya	47.808
Libya	50.227
Libya	52.773
Libya	57.442
Libya	62.155
Libya	66.234
Libya	68.755
Libya	71.555
Libya	72.737
Libya	73.952
Madagascar	36.681
Madagascar	38.865
Madagascar	40.848
Madagascar	42.881
Madagascar	44.851
Madagascar	46.881
Madagascar	48.969
Madagascar	49.35
Madagascar	52.214
Madagascar	54.978
Madagascar	57.286
Madagascar	59.443
Malawi	36.256
Malawi	37.207
Malawi	38.41
Malawi	39.487
Malawi	41.766
Malawi	43.767
Malawi	45.642
Malawi	47.457
Malawi	49.42
Malawi	47.495
Malawi	45.009
Malawi	48.303
Malaysia	48.463
Malaysia	52.102
Malaysia	55.737
Malaysia	59.371
Malaysia	63.01
Malaysia	65.256
Malaysia	68
Malaysia	69.5
Malaysia	70.693
Malaysia	71.938
Malaysia	73.044
Malaysia	74.241
Mali	33.685
Mali	35.307
Mali	36.936
Mali	38.487
Mali	39.977
Mali	41.714
Mali	43.916
Mali	46.364
Mali	48.388
Mali	49.903
Mali	51.818
Mali	54.467
Mauritania	40.543
Mauritania	42.338
Mauritania	44.248
Mauritania	46.289
Mauritania	48.437
Mauritania	50.852
Mauritania	53.599
Mauritania	56.145
Mauritania	58.333
Mauritania	60.43
Mauritania	62.247
Mauritania	64.164
Mauritius	50.986
Mauritius	58.089
Mauritius	60.246
Mauritius	61.557
Mauritius	62.944
Mauritius	64.93
Mauritius	66.711
Mauritius	68.74
Mauritius	69.745
Mauritius	70.736
Mauritius	71.954
Mauritius	72.801
Mexico	50.789
Mexico	55.19
Mexico	58.299
Mexico	60.11
Mexico	62.361
Mexico	65.032
Mexico	67.405
Mexico	69.498
Mexico	71.455
Mexico	73.67
Mexico	74.902
Mexico	76.195
Mongolia	42.244
Mongolia	45.248
Mongolia	48.251
Mongolia	51.253
Mongolia	53.754
Mongolia	55.491
Mongolia	57.489
Mongolia	60.222
Mongolia	61.271
Mongolia	63.625
Mongolia	65.033
Mongolia	66.803
Montenegro	59.164
Montenegro	61.448
Montenegro	63.728
Montenegro	67.178
Montenegro	70.636
Montenegro	73.066
Montenegro	74.101
Montenegro	74.865
Montenegro	75.435
Montenegro	75.445
Montenegro	73.981
Montenegro	74.543
Morocco	42.873
Morocco	45.423
Morocco	47.924
Morocco	50.335
Morocco	52.862
Morocco	55.73
Morocco	59.65
Morocco	62.677
Morocco	65.393
Morocco	67.66
Morocco	69.615
Morocco	71.164
Mozambique	31.286
Mozambique	33.779
Mozambique	36.161
Mozambique	38.113
Mozambique	40.328
Mozambique	42.495
Mozambique	42.795
Mozambique	42.861
Mozambique	44.284
Mozambique	46.344
Mozambique	44.026
Mozambique	42.082
Myanmar	36.319
Myanmar	41.905
Myanmar	45.108
Myanmar	49.379
Myanmar	53.07
Myanmar	56.059
Myanmar	58.056
Myanmar	58.339
Myanmar	59.32
Myanmar	60.328
Myanmar	59.908
Myanmar	62.069
Namibia	41.725
Namibia	45.226
Namibia	48.386
Namibia	51.159
Namibia	53.867
Namibia	56.437
Namibia	58.968
Namibia	60.835
Namibia	61.999
Namibia	58.909
Namibia	51.479
Namibia	52.906
Nepal	36.157
Nepal	37.686
Nepal	39.393
Nepal	41.472
Nepal	43.971
Nepal	46.748
Nepal	49.594
Nepal	52.537
Nepal	55.727
Nepal	59.426
Nepal	61.34
Nepal	63.785
Netherlands	72.13
Netherlands	72.99
Netherlands	73.23
Netherlands	73.82
Netherlands	73.75
Netherlands	75.24
Netherlands	76.05
Netherlands	76.83
Netherlands	77.42
Netherlands	78.03
Netherlands	78.53
Netherlands	79.762
New Zealand	69.39
New Zealand	70.26
New Zealand	71.24
New Zealand	71.52
New Zealand	71.89
New Zealand	72.22
New Zealand	73.84
New Zealand	74.32
New Zealand	76.33
New Zealand	77.55
New Zealand	79.11
New Zealand	80.204
Nicaragua	42.314
Nicaragua	45.432
Nicaragua	48.632
Nicaragua	51.884
Nicaragua	55.151
Nicaragua	57.47
Nicaragua	59.298
Nicaragua	62.008
Nicaragua	65.843
Nicaragua	68.426
Nicaragua	70.836
Nicaragua	72.899
Niger	37.444
Niger	38.598
Niger	39.487
Niger	40.118
Niger	40.546
Niger	41.291
Niger	42.598
Niger	44.555
Niger	47.391
Niger	51.313
Niger	54.496
Niger	56.867
Nigeria	36.324
Nigeria	37.802
Nigeria	39.36
Nigeria	41.04
Nigeria	42.821
Nigeria	44.514
Nigeria	45.826
Nigeria	46.886
Nigeria	47.472
Nigeria	47.464
Nigeria	46.608
Nigeria	46.859
Norway	72.67
Norway	73.44
Norway	73.47
Norway	74.08
Norway	74.34
Norway	75.37
Norway	75.97
Norway	75.89
Norway	77.32
Norway	78.32
Norway	79.05
Norway	80.196
Oman	37.578
Oman	40.08
Oman	43.165
Oman	46.988
Oman	52.143
Oman	57.367
Oman	62.728
Oman	67.734
Oman	71.197
Oman	72.499
Oman	74.193
Oman	75.64
Pakistan	43.436
Pakistan	45.557
Pakistan	47.67
Pakistan	49.8
Pakistan	51.929
Pakistan	54.043
Pakistan	56.158
Pakistan	58.245
Pakistan	60.838
Pakistan	61.818
Pakistan	63.61
Pakistan	65.483
Panama	55.191
Panama	59.201
Panama	61.817
Panama	64.071
Panama	66.216
Panama	68.681
Panama	70.472
Panama	71.523
Panama	72.462
Panama	73.738
Panama	74.712
Panama	75.537
Paraguay	62.649
Paraguay	63.196
Paraguay	64.361
Paraguay	64.951
Paraguay	65.815
Paraguay	66.353
Paraguay	66.874
Paraguay	67.378
Paraguay	68.225
Paraguay	69.4
Paraguay	70.755
Paraguay	71.752
Peru	43.902
Peru	46.263
Peru	49.096
Peru	51.445
Peru	55.448
Peru	58.447
Peru	61.406
Peru	64.134
Peru	66.458
Peru	68.386
Peru	69.906
Peru	71.421
Philippines	47.752
Philippines	51.334
Philippines	54.757
Philippines	56.393
Philippines	58.065
Philippines	60.06
Philippines	62.082
Philippines	64.151
Philippines	66.458
Philippines	68.564
Philippines	70.303
Philippines	71.688
Poland	61.31
Poland	65.77
Poland	67.64
Poland	69.61
Poland	70.85
Poland	70.67
Poland	71.32
Poland	70.98
Poland	70.99
Poland	72.75
Poland	74.67
Poland	75.563
Portugal	59.82
Portugal	61.51
Portugal	64.39
Portugal	66.6
Portugal	69.26
Portugal	70.41
Portugal	72.77
Portugal	74.06
Portugal	74.86
Portugal	75.97
Portugal	77.29
Portugal	78.098
Puerto Rico	64.28
Puerto Rico	68.54
Puerto Rico	69.62
Puerto Rico	71.1
Puerto Rico	72.16
Puerto Rico	73.44
Puerto Rico	73.75
Puerto Rico	74.63
Puerto Rico	73.911
Puerto Rico	74.917
Puerto Rico	77.778
Puerto Rico	78.746
Reunion	52.724
Reunion	55.09
Reunion	57.666
Reunion	60.542
Reunion	64.274
Reunion	67.064
Reunion	69.885
Reunion	71.913
Reunion	73.615
Reunion	74.772
Reunion	75.744
Reunion	76.442
Romania	61.05
Romania	64.1
Romania	66.8
Romania	66.8
Romania	69.21
Romania	69.46
Romania	69.66
Romania	69.53
Romania	69.36
Romania	69.72
Romania	71.322
Romania	72.476
Rwanda	40
Rwanda	41.5
Rwanda	43
Rwanda	44.1
Rwanda	44.6
Rwanda	45
Rwanda	46.218
Rwanda	44.02
Rwanda	23.599
Rwanda	36.087
Rwanda	43.413
Rwanda	46.242
Sao Tome and Principe	46.471
Sao Tome and Principe	48.945
Sao Tome and Principe	51.893
Sao Tome and Principe	54.425
Sao Tome and Principe	56.48
Sao Tome and Principe	58.55
Sao Tome and Principe	60.351
Sao Tome and Principe	61.728
Sao Tome and Principe	62.742
Sao Tome and Principe	63.306
Sao Tome and Principe	64.337
Sao Tome and Principe	65.528
Saudi Arabia	39.875
Saudi Arabia	42.868
Saudi Arabia	45.914
Saudi Arabia	49.901
Saudi Arabia	53.886
Saudi Arabia	58.69
Saudi Arabia	63.012
Saudi Arabia	66.295
Saudi Arabia	68.768
Saudi Arabia	70.533
Saudi Arabia	71.626
Saudi Arabia	72.777
Senegal	37.278
Senegal	39.329
Senegal	41.454
Senegal	43.563
Senegal	45.815
Senegal	48.879
Senegal	52.379
Senegal	55.769
Senegal	58.196
Senegal	60.187
Senegal	61.6
Senegal	63.062
Serbia	57.996
Serbia	61.685
Serbia	64.531
Serbia	66.914
Serbia	68.7
Serbia	70.3
Serbia	70.162
Serbia	71.218
Serbia	71.659
Serbia	72.232
Serbia	73.213
Serbia	74.002
Sierra Leone	30.331
Sierra Leone	31.57
Sierra Leone	32.767
Sierra Leone	34.113
Sierra Leone	35.4
Sierra Leone	36.788
Sierra Leone	38.445
Sierra Leone	40.006
Sierra Leone	38.333
Sierra Leone	39.897
Sierra Leone	41.012
Sierra Leone	42.568
Singapore	60.396
Singapore	63.179
Singapore	65.798
Singapore	67.946
Singapore	69.521
Singapore	70.795
Singapore	71.76
Singapore	73.56
Singapore	75.788
Singapore	77.158
Singapore	78.77
Singapore	79.972
Slovak Republic	64.36
Slovak Republic	67.45
Slovak Republic	70.33
Slovak Republic	70.98
Slovak Republic	70.35
Slovak Republic	70.45
Slovak Republic	70.8
Slovak Republic	71.08
Slovak Republic	71.38
Slovak Republic	72.71
Slovak Republic	73.8
Slovak Republic	74.663
Slovenia	65.57
Slovenia	67.85
Slovenia	69.15
Slovenia	69.18
Slovenia	69.82
Slovenia	70.97
Slovenia	71.063
Slovenia	72.25
Slovenia	73.64
Slovenia	75.13
Slovenia	76.66
Slovenia	77.926
Somalia	32.978
Somalia	34.977
Somalia	36.981
Somalia	38.977
Somalia	40.973
Somalia	41.974
Somalia	42.955
Somalia	44.501
Somalia	39.658
Somalia	43.795
Somalia	45.936
Somalia	48.159
South Africa	45.009
South Africa	47.985
South Africa	49.951
South Africa	51.927
South Africa	53.696
South Africa	55.527
South Africa	58.161
South Africa	60.834
South Africa	61.888
South Africa	60.236
South Africa	53.365
South Africa	49.339
Spain	64.94
Spain	66.66
Spain	69.69
Spain	71.44
Spain	73.06
Spain	74.39
Spain	76.3
Spain	76.9
Spain	77.57
Spain	78.77
Spain	79.78
Spain	80.941
Sri Lanka	57.593
Sri Lanka	61.456
Sri Lanka	62.192
Sri Lanka	64.266
Sri Lanka	65.042
Sri Lanka	65.949
